NAME,ID,Price,Discount
Elvira,46325500000000000,1125.0,22.5
Cristine,46668600000000000,9010.0,180.20000000000002
Ronna,44140000000000000,3927.0,78.54
Vivia,43209300000000000,1234.0,24.68
Genevra,43654800000000000,2836.0,56.72
Kirstin,49247500000000000,8272.0,165.44
Arlena,48043900000000000,8683.0,173.66
Mildrid,47392200000000000,9628.0,192.56
Justinn,45971400000000000,1540.0,30.8
Kelly,45073000000000000,6700.0,134.0
Aubrie,49107600000000000,1367.0,27.34
Kary,40422800000000000,5349.0,106.98
Sara-Ann,43165300000000000,9248.0,184.96
Annecorinne,44261700000000000,9018.0,180.36
Joeann,40917000000000000,7663.0,153.26
Magdalena,42879800000000000,4588.0,91.76
Devina,40861500000000000,6064.0,121.28
Mignon,46845600000000000,5727.0,114.54
Benita,47025900000000000,9255.0,185.1
Paule,41388600000000000,6896.0,137.92000000000002
Hildegaard,41979200000000000,7931.0,158.62
Vere,44243400000000000,7606.0,152.12
Brianna,40430100000000000,7710.0,154.20000000000002
Desirae,49085400000000000,8026.0,160.52
Thalia,43532600000000000,8109.0,162.18
Ebonee,42781600000000000,5690.0,113.8
Sophia,47343800000000000,6994.0,139.88
Perry,49537500000000000,3582.0,71.64
Goldie,46163400000000000,4622.0,92.44
Kimmy,41711900000000000,9123.0,182.46
Carly,46969700000000000,8119.0,162.38
Korrie,47524800000000000,1618.0,32.36
Loree,49134600000000000,2945.0,58.9
Calla,49553900000000000,3329.0,66.58
Kary,45500200000000000,2891.0,57.82
Rosene,48113700000000000,9741.0,194.82
Wileen,44917200000000000,9321.0,186.42000000000002
Tonia,42717900000000000,6277.0,125.54
Carmela,46047600000000000,5128.0,102.56
Doralynne,42176100000000000,5121.0,102.42
Catrina,40518300000000000,1114.0,22.28
Talya,43089000000000000,3916.0,78.32000000000001
Selia,49709200000000000,6792.0,135.84
Perry,46672400000000000,2645.0,52.9
Modestia,47766900000000000,6499.0,129.98
Noelle,48258300000000000,7137.0,142.74
Hyacinthe,45715000000000000,6512.0,130.24
Juliane,48079500000000000,4204.0,84.08
Elbertina,46378000000000000,9431.0,188.62
Christal,45775100000000000,9154.0,183.08
Clo,48625000000000000,7679.0,153.58
Binny,40154200000000000,8650.0,173.0
Renae,44838700000000000,5864.0,117.28
Benita,47621000000000000,5481.0,109.62
Bibby,43593200000000000,3979.0,79.58
Blinni,46284000000000000,5663.0,113.26
Karlee,40480700000000000,7780.0,155.6
Delilah,42965300000000000,5621.0,112.42
Briney,42950400000000000,6536.0,130.72
Emylee,43463200000000000,4569.0,91.38
Dari,44465700000000000,5770.0,115.4
Ada,49220800000000000,1524.0,30.48
Rani,49228100000000000,6523.0,130.46
Caryl,47644000000000000,5107.0,102.14
Jasmina,43849900000000000,4346.0,86.92
Mary,47203900000000000,6492.0,129.84
Elena,44523000000000000,6998.0,139.96
Glynnis,49485100000000000,2104.0,42.08
Marika,42424900000000000,5202.0,104.04
Sadie,45515400000000000,2869.0,57.38
Edyth,45086300000000000,6630.0,132.6
Modestia,41401600000000000,9526.0,190.52
Silvana,48758900000000000,1761.0,35.22
Odessa,43981300000000000,4007.0,80.14
Imojean,48109000000000000,8330.0,166.6
Kamilah,46570100000000000,9337.0,186.74
Laure,44783000000000000,4074.0,81.48
Carolina,40252500000000000,9060.0,181.20000000000002
Tiffie,40289700000000000,7159.0,143.18
Elie,46551600000000000,5482.0,109.64
Ofilia,44413600000000000,7576.0,151.52
Joceline,41975300000000000,7673.0,153.46
Melodie,49458700000000000,2179.0,43.58
Tami,45035500000000000,3432.0,68.64
Gerrie,45775200000000000,2136.0,42.72
Barbara,49070200000000000,3995.0,79.9
Trudie,48950100000000000,9237.0,184.74
Stephanie,44071800000000000,7840.0,156.8
Ericka,42191700000000000,7886.0,157.72
Hope,41852300000000000,8292.0,165.84
Catharine,48793000000000000,3389.0,67.78
Mariann,48550300000000000,5277.0,105.54
Tomasina,42044700000000000,1377.0,27.54
Shel,42841100000000000,4432.0,88.64
Rosabelle,45468300000000000,2247.0,44.94
Sara-Ann,47771700000000000,8776.0,175.52
Linet,44240400000000000,8790.0,175.8
Elmira,41914400000000000,6755.0,135.1
Carilyn,48068000000000000,5946.0,118.92
Jordan,47358100000000000,1453.0,29.060000000000002
Emylee,42486700000000000,4686.0,93.72
Linet,44460400000000000,4181.0,83.62
Hallie,42361300000000000,1866.0,37.32
Carilyn,46315100000000000,5847.0,116.94
Elbertina,40639600000000000,7600.0,152.0
Dione,49206300000000000,9363.0,187.26
Ofilia,47334100000000000,2653.0,53.06
Judy,49227400000000000,8552.0,171.04
Sophia,47646700000000000,1726.0,34.52
Merci,49916900000000000,9615.0,192.3
Rozele,43295200000000000,9947.0,198.94
Jacquetta,41891300000000000,2157.0,43.14
Lilith,43133500000000000,3638.0,72.76
Nananne,44894200000000000,1506.0,30.12
Gertrud,49980600000000000,9191.0,183.82
Madelle,41241500000000000,6138.0,122.76
Beatriz,48231100000000000,4906.0,98.12
Linzy,43952000000000000,9231.0,184.62
Briney,44053100000000000,4318.0,86.36
Chere,43295200000000000,2134.0,42.68
Phylis,46566100000000000,2971.0,59.42
Lisette,45259400000000000,6111.0,122.22
Gusty,44617900000000000,7660.0,153.20000000000002
Jaclyn,45935800000000000,1536.0,30.72
Oralee,42953500000000000,5180.0,103.60000000000001
Madalyn,40796800000000000,6567.0,131.34
Maye,41850700000000000,3777.0,75.54
Larine,45452800000000000,4214.0,84.28
Kamilah,44808700000000000,4142.0,82.84
Ricky,40440100000000000,2790.0,55.800000000000004
Adele,40604100000000000,8624.0,172.48
Zia,46996000000000000,2406.0,48.120000000000005
Anallese,47766700000000000,4021.0,80.42
Shandie,49008000000000000,9219.0,184.38
Tiffie,43804900000000000,3909.0,78.18
Aryn,44044500000000000,9815.0,196.3
Rhoda,42346600000000000,2505.0,50.1
Arlena,42451800000000000,1362.0,27.240000000000002
Arlena,47922800000000000,9334.0,186.68
Mady,40103700000000000,7858.0,157.16
Kelly,49851800000000000,3513.0,70.26
Ayn,49303600000000000,7685.0,153.70000000000002
Gerrie,42222600000000000,5627.0,112.54
Nananne,47043300000000000,8940.0,178.8
Gale,43076300000000000,5406.0,108.12
Sheree,48833600000000000,7148.0,142.96
Ulrike,40772400000000000,6322.0,126.44
Aurelie,49184300000000000,8850.0,177.0
Gwenneth,49116800000000000,6598.0,131.96
Lynea,43745900000000000,3598.0,71.96000000000001
Jemie,47651800000000000,3213.0,64.26
Doro,46074100000000000,9916.0,198.32
Jolyn,43438800000000000,7705.0,154.1
Carolina,45983900000000000,9458.0,189.16
Amelia,46511900000000000,8246.0,164.92000000000002
Nickie,45855100000000000,1947.0,38.94
Shaine,45426900000000000,5089.0,101.78
Georgetta,42229300000000000,5096.0,101.92
Laurene,48277300000000000,7332.0,146.64000000000001
Orsola,42718500000000000,1995.0,39.9
Christy,45243000000000000,5241.0,104.82000000000001
Tomasina,42296900000000000,2671.0,53.42
Rosabelle,47786800000000000,7466.0,149.32
Mildrid,46228900000000000,4350.0,87.0
Ekaterina,44287100000000000,5214.0,104.28
Tobe,48885500000000000,2415.0,48.300000000000004
Laurene,45564100000000000,6183.0,123.66
Harmonia,42108700000000000,2338.0,46.76
Gale,44574700000000000,4937.0,98.74000000000001
Correy,41356600000000000,9602.0,192.04
Mureil,47058300000000000,5739.0,114.78
Phedra,46747600000000000,9820.0,196.4
Wileen,47253900000000000,5239.0,104.78
Raf,44902400000000000,2052.0,41.04
Merle,40211100000000000,3475.0,69.5
Karolina,41613700000000000,3073.0,61.46
Debee,47592600000000000,3726.0,74.52
Emilia,40537400000000000,8417.0,168.34
Margette,48804500000000000,2170.0,43.4
Dorthy,46758400000000000,6773.0,135.46
Aaren,42525000000000000,8161.0,163.22
Rayna,42528900000000000,1773.0,35.46
Gabi,43124900000000000,4592.0,91.84
Ida,44229700000000000,8330.0,166.6
Linzy,40904900000000000,2282.0,45.64
Sidoney,40251000000000000,6028.0,120.56
Lynea,43645800000000000,8364.0,167.28
Pollyanna,46139300000000000,7075.0,141.5
Maud,47580800000000000,2843.0,56.86
Pamella,47940400000000000,4203.0,84.06
Agnese,46275100000000000,8230.0,164.6
Leona,41434900000000000,5124.0,102.48
Gaylene,48099700000000000,7811.0,156.22
Ronna,43168600000000000,2889.0,57.78
June,40447500000000000,3370.0,67.4
Kary,49175400000000000,9327.0,186.54
Gusella,43039100000000000,4942.0,98.84
Tomasina,46959900000000000,8503.0,170.06
Lulita,44813100000000000,6842.0,136.84
Xylina,49470800000000000,8146.0,162.92000000000002
Marleah,42403900000000000,8963.0,179.26
Siana,45109300000000000,8666.0,173.32
Lauryn,49213000000000000,2406.0,48.120000000000005
Kaja,40640300000000000,3637.0,72.74
Fina,47866200000000000,6303.0,126.06
Laure,45649900000000000,6927.0,138.54
Ginnie,45555500000000000,7373.0,147.46
Amii,44068300000000000,9003.0,180.06
Harmonia,42852500000000000,5129.0,102.58
Carilyn,46328700000000000,1725.0,34.5
Ofilia,46956500000000000,9618.0,192.36
Ida,42477800000000000,6608.0,132.16
Cissiee,49381100000000000,4853.0,97.06
Gretal,41785500000000000,6924.0,138.48
Norine,48341900000000000,4746.0,94.92
Millie,40653900000000000,2777.0,55.54
Nerta,40639200000000000,5451.0,109.02
Iseabal,44552900000000000,5572.0,111.44
Valli,49011100000000000,1805.0,36.1
Zsa Zsa,40303100000000000,6171.0,123.42
Nariko,44516300000000000,8538.0,170.76
Jolyn,49295000000000000,5059.0,101.18
Helsa,45580700000000000,6401.0,128.02
Deloria,41132100000000000,9310.0,186.20000000000002
Winifred,42526900000000000,2834.0,56.68
June,44616700000000000,8731.0,174.62
Aeriela,45214800000000000,8522.0,170.44
Valera,40728500000000000,2387.0,47.74
Britte,42480600000000000,8905.0,178.1
Arabel,45410900000000000,7384.0,147.68
Priscilla,42750700000000000,7351.0,147.02
Joleen,49946100000000000,1237.0,24.740000000000002
Ethel,42809200000000000,1862.0,37.24
Katharina,41910100000000000,8707.0,174.14000000000001
Nataline,40877200000000000,5675.0,113.5
Benita,43045200000000000,9960.0,199.20000000000002
Danny,49017300000000000,8260.0,165.20000000000002
Dulce,49122600000000000,8943.0,178.86
Marita,45587200000000000,6537.0,130.74
Joy,42164500000000000,4695.0,93.9
Tybie,49816700000000000,4549.0,90.98
Carree,45368900000000000,9390.0,187.8
Eugine,48091500000000000,9539.0,190.78
Gusty,40092900000000000,9172.0,183.44
Ketti,45866800000000000,6420.0,128.4
Orelia,43144400000000000,6146.0,122.92
Ashlee,40744600000000000,7546.0,150.92000000000002
Violet,47385100000000000,1634.0,32.68
Sean,42647200000000000,6280.0,125.60000000000001
Jobi,44833000000000000,4101.0,82.02
Kathi,43853700000000000,3057.0,61.14
Alleen,44914900000000000,7850.0,157.0
Eolanda,40402300000000000,7747.0,154.94
Lisette,43556300000000000,7378.0,147.56
Dominga,40477600000000000,7249.0,144.98
Silvana,41787300000000000,8939.0,178.78
Lexine,44214300000000000,2982.0,59.64
Genovera,49943800000000000,2326.0,46.52
Keelia,41564500000000000,7949.0,158.98
Diena,41439600000000000,1607.0,32.14
Tatiania,49123200000000000,6955.0,139.1
Maud,40844200000000000,6489.0,129.78
Sindee,46062800000000000,8815.0,176.3
Jordan,43465000000000000,7198.0,143.96
Viki,44375700000000000,3980.0,79.60000000000001
Coral,40610700000000000,1461.0,29.22
Sashenka,46933500000000000,3946.0,78.92
Nananne,43799200000000000,9123.0,182.46
Doro,41629000000000000,7750.0,155.0
Olivette,41972600000000000,3021.0,60.42
Roberta,46572100000000000,6698.0,133.96
Tracey,42898800000000000,1763.0,35.26
Rozele,44658500000000000,6736.0,134.72
Emylee,43065600000000000,6920.0,138.4
Katleen,46455400000000000,1286.0,25.72
Chastity,46303800000000000,9605.0,192.1
Amelia,42347700000000000,7899.0,157.98
Gertrud,43732100000000000,2033.0,40.660000000000004
Willetta,43998800000000000,3017.0,60.34
Charlena,42530300000000000,9591.0,191.82
Gale,48284800000000000,4720.0,94.4
Ellette,41991000000000000,6336.0,126.72
Ericka,45743000000000000,2488.0,49.76
Celene,45460400000000000,7174.0,143.48
Feliza,43070000000000000,1845.0,36.9
Justinn,42881700000000000,8505.0,170.1
Bernardine,44693400000000000,4396.0,87.92
Mara,41478500000000000,8276.0,165.52
Micheline,45278700000000000,1579.0,31.580000000000002
Nyssa,45708000000000000,1662.0,33.24
Joelly,44098700000000000,8762.0,175.24
Oona,43947500000000000,6913.0,138.26
Moyna,42241400000000000,1612.0,32.24
Cathyleen,49484300000000000,8720.0,174.4
Ana,48829000000000000,6238.0,124.76
Noelle,40557800000000000,1022.0,20.44
Cathyleen,43571100000000000,9010.0,180.20000000000002
Janeczka,42233000000000000,3542.0,70.84
Dulce,48991000000000000,2820.0,56.4
Nita,43391700000000000,1293.0,25.86
Noelle,41900300000000000,1278.0,25.560000000000002
Pollyanna,45049800000000000,4356.0,87.12
Jere,46624600000000000,4326.0,86.52
Daphne,47236500000000000,6410.0,128.2
Elvira,47493000000000000,3729.0,74.58
